Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Anul Fact Kilos;Dev Irrecup Kilos;Dev Reparto Kilos
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Abril;45435762;18165268;256383;190333;0;148;306
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Mayo;26358984;17652221;147061;165505;0;398;1334
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Junio;34813638;20714604;194314;188005;0;356;6351
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Julio;25910249;16767114;141117;111444;0;363;589
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Agosto;30345355;29923115;161030;223597;0;313;685
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Septiembre;33791730;26230898;167154;188498;0;234;509
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Octubre;48577818;24798330;207798;180600;0;175;4844
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Noviembre;43067063;24983300;176895;180353;0;227;766
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Diciembre;41762598;17359741;163364;127317;0;1137;971
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Enero;37155744;20806530;135729;143314;0;392;295
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Febrero;35322551;19056351;125082;127008;0;95;191
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Marzo;45525730;23578806;159758;155826;0;216;2499
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Abril;48525506;21540262;171044;131729;0;193;212
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Mayo;32677657;21785934;107831;125954;0;217;189
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Junio;44747553;28387347;144962;161643;0;229;248
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Julio;47823704;29323656;150281;158175;0;367;2815
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Agosto;43422390;24231644;128093;121115;0;94;394
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Septiembre;47775791;33088823;131721;152509;0;196;668
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Octubre;50429709;19080567;130538;90825;0;306;479
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Noviembre;47911130;24553710;124416;114837;0;143;656
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2021;Diciembre;50890431;27863267;131108;131608;0;100;401
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2022;Enero;41724241;26042392;105421;123500;0;106;51
